census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income
371830532062,3,37,37183,053206,2,Fuquay-Varina Community Library,15,50,31,5.846430254564204,3.632802213708814,37,183,53206,2,1500000US371830532062,Block Group 2,BG,7747024,99379,1931.0,106450.0
371830532063,3,37,37183,053206,3,Fuquay-Varina Community Library,15,50,31,7.23938805077567,4.498345792498529,37,183,53206,3,1500000US371830532063,Block Group 3,BG,4072299,27676,1780.0,155375.0
371830532081,3,37,37183,053208,1,Fuquay-Varina Community Library,15,50,31,11.926455894774396,7.410753825791861,37,183,53208,1,1500000US371830532081,Block Group 1,BG,42053225,1399361,6412.0,131933.0
371830532082,3,37,37183,053208,2,Fuquay-Varina Community Library,15,50,31,9.550252182642334,5.934249748980649,37,183,53208,2,1500000US371830532082,Block Group 2,BG,3226604,0,6139.0,121883.0
371830532091,3,37,37183,053209,1,Fuquay-Varina Community Library,15,50,31,6.81951805204223,4.237450751515532,37,183,53209,1,1500000US371830532091,Block Group 1,BG,6724366,47429,980.0,183708.0
371830532092,3,37,37183,053209,2,Fuquay-Varina Community Library,15,50,31,13.477098601134575,8.374278234885592,37,183,53209,2,1500000US371830532092,Block Group 2,BG,53272815,10847607,1244.0,86285.0
371830532101,3,37,37183,053210,1,Fuquay-Varina Community Library,15,50,31,10.123072439956852,6.290183645088429,37,183,53210,1,1500000US371830532101,Block Group 1,BG,12709727,75371,5783.0,141610.0
371830532111,3,37,37183,053211,1,Fuquay-Varina Community Library,15,50,31,7.937488622666027,4.932125242954612,37,183,53211,1,1500000US371830532111,Block Group 1,BG,6618667,0,5013.0,150375.0
371830532112,3,37,37183,053211,2,Fuquay-Varina Community Library,15,50,31,6.233362131961044,3.8732304612987662,37,183,53211,2,1500000US371830532112,Block Group 2,BG,7353868,0,2752.0,165913.0
371830534051,3,37,37183,053405,1,Fuquay-Varina Community Library,15,50,31,14.110378912861876,8.767780255463897,37,183,53405,1,1500000US371830534051,Block Group 1,BG,1502196,0,1045.0,164545.0
371830534052,3,37,37183,053405,2,Fuquay-Varina Community Library,15,50,31,15.719076431455603,9.76737824129,37,183,53405,2,1500000US371830534052,Block Group 2,BG,3675575,81789,2575.0,131538.0
371830534053,3,37,37183,053405,3,Fuquay-Varina Community Library,15,50,31,15.807613237779607,9.822392445172353,37,183,53405,3,1500000US371830534053,Block Group 3,BG,2752604,0,1003.0,97206.0
371830534171,3,37,37183,053417,1,Fuquay-Varina Community Library,15,50,31,16.356842950294467,10.163667860867424,37,183,53417,1,1500000US371830534171,Block Group 1,BG,1850595,0,2205.0,87188.0
371830534172,3,37,37183,053417,2,Fuquay-Varina Community Library,15,50,31,15.698995446366144,9.754900499503977,37,183,53417,2,1500000US371830534172,Block Group 2,BG,7502366,0,2522.0,89286.0
371830534211,3,37,37183,053421,1,Fuquay-Varina Community Library,15,50,31,12.524143995545996,7.7821398786564115,37,183,53421,1,1500000US371830534211,Block Group 1,BG,2969333,0,2734.0,98889.0
371830534212,3,37,37183,053421,2,Fuquay-Varina Community Library,15,50,31,11.11725742657454,6.907941364408049,37,183,53421,2,1500000US371830534212,Block Group 2,BG,3977235,0,2576.0,119286.0
371830534283,3,37,37183,053428,3,Fuquay-Varina Community Library,15,50,31,18.326081222097294,11.387295415055817,37,183,53428,3,1500000US371830534283,Block Group 3,BG,10941845,0,7995.0,163313.0
371830534311,3,37,37183,053431,1,Fuquay-Varina Community Library,15,50,31,14.009167327798952,8.704890311641762,37,183,53431,1,1500000US371830534311,Block Group 1,BG,4488853,0,2749.0,65781.0
371830534312,3,37,37183,053431,2,Fuquay-Varina Community Library,15,50,31,13.043208023172994,8.104671212567027,37,183,53431,2,1500000US371830534312,Block Group 2,BG,7192877,0,2042.0,126328.0
371830534321,3,37,37183,053432,1,Fuquay-Varina Community Library,15,50,31,12.919867229449965,8.028030820230555,37,183,53432,1,1500000US371830534321,Block Group 1,BG,17659472,0,2647.0,96399.0
371830534331,3,37,37183,053433,1,Fuquay-Varina Community Library,15,50,31,17.524929614381726,10.889483039417987,37,183,53433,1,1500000US371830534331,Block Group 1,BG,1728166,0,3050.0,168001.0
371830534361,3,37,37183,053436,1,Fuquay-Varina Community Library,15,50,31,16.4437374944869,10.21766161068682,37,183,53436,1,1500000US371830534361,Block Group 1,BG,2162869,6869,1489.0,73229.0
